city,day_avg,night_avg,day_var,night_var,part_date
2302,4055.017369,1236.473866,5161.017377,1579.110234,20200203
2301,4242.850618,1279.676068,5566.778223,1676.806195,20200203
2305,3676.879693,1082.926156,4530.872389,1352.336251,20200203
null,3968.013789,1198.321957,6042.196014,1841.519796,20200203
2309,3861.258919,1184.273133,4739.387048,1433.776576,20200203
2312,2607.213933,800.3527668,3251.744115,1019.584752,20200203
2304,3586.065617,1078.675306,4814.494579,1455.726173,20200203
2311,3318.286741,1010.805068,3835.274553,1161.580017,20200203
2303,3071.754865,934.8999556,3900.040525,1176.102626,20200204
2312,2600.801383,809.4619565,3303.506314,1043.215461,20200204
2306,4167.968434,1227.318112,4466.512703,1346.514618,20200204
